sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
003_Win_4_100m_01-2,1,0,1,1417,1,27,3,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02,0,0,0,0,2,28,1,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02-2,1,0,1,29920,2,28,2,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02-3,1,0,1,2693,2,28,3,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03,1,0,1,17906,3,29,1,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03-2,1,0,1,31270,3,29,2,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03-3,1,0,1,11836,3,29,3,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01,1,0,1,2304,1,37,1,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01-1,0,0,0,0,1,37,2,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01-2,1,0,1,15299,1,37,3,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_02,0,0,0,0,2,38,1,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_02-2,0,0,0,0,2,38,2,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_02-3,0,0,0,0,2,38,3,202210,20221014,DL,1,RREAS,2,CTD,1,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_03,0,0,0,0,3,39,1,202210,20221014,DL,1,RREAS,2,CTD,1,38,1500,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_03-2,1,0,1,189,3,39,2,202210,20221014,DL,1,RREAS,2,CTD,1,38,1500,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_03-3,0,0,0,0,3,39,3,202210,20221014,DL,1,RREAS,2,CTD,1,38,1500,1400 - 2000,82.7 46.1,2210RL_003,3,6,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_01,1,0,1,8458,1,31,1,202210,20221014,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_01-1,1,0,1,58834,1,31,2,202210,20221014,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_01-2,1,0,1,41430,1,31,3,202210,20221014,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_02,1,0,1,104858,2,32,1,202210,20221014,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_02-3,1,0,1,60315,2,32,2,202210,20221014,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_03,1,0,1,97145,3,33,1,202210,20221014,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_03-2,1,0,1,28021,3,33,2,202210,20221014,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_8_10m_03-3,1,0,1,170325,3,33,3,202210,20221014,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,82.7 46.1,2210RL_003,3,8,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
004_GEM_1_80m,0,0,0,0,1,48,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,80,1000,800 - 1000,84.0 41.7,2210RL_004,4,1,34.05617833,-118.5965633,"common dolphins, humpbacks, maybe a bottlenose dolphin",
