sample-id,mm_detect,Bio-rep,unique_biorep,uniqiue_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Collection_method,Collection_method_numeric,Collection_device,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,depth_m_ZG,bottle,volume_L_ZG,latitude,longitude,Ecological Notes,Processing Notes
003_Win_4_100m_01-2,1,1,2210RL_003100RREAS1,27,3,BAE01,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02,0,2,2210RL_003100RREAS2,28,1,BAE01,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02-2,1,2,2210RL_003100RREAS2,28,2,BAE02,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_02-3,1,2,2210RL_003100RREAS2,28,3,BAE02,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03,1,3,2210RL_003100RREAS3,29,1,BAE01,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03-2,1,3,2210RL_003100RREAS3,29,2,BAE02,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_03-3,1,3,2210RL_003100RREAS3,29,3,BAE02,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01,1,1,2210RL_00338RREAS1,37,1,BAE02,202210,20221014,RREAS,2,CTD,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,38,6,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01-1,0,1,2210RL_00338RREAS1,37,2,BAE01,202210,20221014,RREAS,2,CTD,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,38,6,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_6_Chlamax_38m_01-2,1,1,2210RL_00338RREAS1,37,3,BAE01,202210,20221014,RREAS,2,CTD,38,2000,1400 - 2000,82.7 46.1,2210RL_003,3,38,6,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
