sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
014_GEM_2_170m-2,0,0,0,0,1,167,3,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 63.6,2210RL_014,14,2,35.7642,-121.3789217,,
014_GEM_1_515m,0,0,0,0,1,172,1,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 63.6,2210RL_014,14,1,35.7642,-121.3789217,,
014_GEM_1_515m-1,0,0,0,0,1,172,2,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 63.6,2210RL_014,14,1,35.7642,-121.3789217,,
014_GEM_1_515m-2,0,0,0,0,1,172,3,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 63.6,2210RL_014,14,1,35.7642,-121.3789217,,
013_GEM_7_10m,0,0,0,0,1,150,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,70.0 66.7,2210RL_013,13,7,35.65952833,-121.16355,,
013_GEM_7_10m-2,0,0,0,0,1,150,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,70.0 66.7,2210RL_013,13,7,35.65952833,-121.16355,,
013_Win_8_10m_01,0,0,0,0,1,151,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_Win_8_10m_01-1,0,0,0,0,1,151,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_Win_8_10m_01-2,0,0,0,0,1,151,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_Win_8_10m_03,0,0,0,0,2,152,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_Win_8_10m_03-2,0,0,0,0,2,152,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_Win_8_10m_03-3,0,0,0,0,2,152,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 66.7,2210RL_013,13,8,35.65952833,-121.16355,,
013_GEM_5_Chlamax_46m,0,0,0,0,1,154,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,46,1000,800 - 1000,70.0 66.7,2210RL_013,13,5,35.65952833,-121.16355,,
013_GEM_5_Chlamax_46m-2,0,0,0,0,1,154,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,46,1000,800 - 1000,70.0 66.7,2210RL_013,13,5,35.65952833,-121.16355,,
013_Win_6_46m_01,0,0,0,0,1,155,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_01-1,0,0,0,0,1,155,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_01-2,0,0,0,0,1,155,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_02,0,0,0,0,2,156,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_02-2,0,0,0,0,2,156,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
