sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinidae_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,input,filtered,denoisedF,denoisedR,merged,nonchim,length_filter
002_Win_6_10m_03-3,0.0,0.0,0.0,0.0,3.0,18.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,1500.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,88119,80849,86301,86298,79861,79686,7874
003_GEM_1_260m,0.0,0.0,0.0,0.0,1.0,35.0,1.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,260.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,1.0,34.138455,-118.124075,450594,407038,433757,433593,371749,357876,179060
003_GEM_1_260m-1,0.0,0.0,0.0,0.0,1.0,35.0,2.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,260.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,1.0,34.138455,-118.124075,498473,446840,458316,458265,417215,401352,270324
003_GEM_1_260m-2,0.0,0.0,0.0,0.0,1.0,35.0,3.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,260.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,1.0,34.138455,-118.124075,511622,457979,467723,467683,269960,262982,75797
003_GEM_2_170m,0.0,0.0,0.0,0.0,1.0,34.0,1.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,170.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,2.0,34.138455,-118.124075,263623,235776,272069,271674,210184,198086,88903
003_GEM_2_170m-1,0.0,0.0,0.0,0.0,1.0,34.0,2.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,170.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,2.0,34.138455,-118.124075,842848,762938,924137,926296,679000,586167,348227
003_GEM_2_170m-2,0.0,0.0,0.0,0.0,1.0,34.0,3.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,170.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,2.0,34.138455,-118.124075,711185,635837,654555,654710,311376,295959,88013
003_GEM_3_100m,1.0,0.0,1.0,147.0,1.0,26.0,1.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,100.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,3.0,34.138455,-118.124075,315144,270535,318952,317912,182850,177403,75873
003_GEM_3_100m-1,1.0,0.0,1.0,2229.0,1.0,26.0,2.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,100.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,3.0,34.138455,-118.124075,636088,525581,639231,638407,299037,284430,164245
003_GEM_3_100m-2,1.0,0.0,1.0,8087.0,1.0,26.0,3.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,100.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,3.0,34.138455,-118.124075,710055,596664,640651,640320,330418,315137,123654
003_GEM_5_Chlamax_38m,0.0,0.0,0.0,0.0,1.0,36.0,1.0,202210.0,20221014.0,DL,1.0,GEMCAP,1.0,CTD,1.0,38.0,1000.0,800 - 1000,82.7 46.1,2210RL_003,3.0,5.0,34.138455,-118.124075,573218,474352,492374,492357,209472,190643,39405
